"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Xestospongia testudinaria vs Petrosia (Strongylophora) corticata",1,2.88367974180881,15.9609525506192,0.399413715936856,0.001,0.21,""
"2","Xestospongia testudinaria vs Xestospongia vansoesti",1,2.57650563672897,10.0683499865855,0.271615812147805,0.001,0.21,""
"3","Xestospongia testudinaria vs Petrosia (Petrosia) nova spec Lanyu",1,3.08609339184102,17.5722716342914,0.403290234252143,0.001,0.21,""
"4","Xestospongia testudinaria vs Petrosia (Petrosia) elephantotus",1,1.64643346364015,8.83264449007078,0.296073132001776,0.003,0.63,""
"5","Xestospongia testudinaria vs Xestospongia nova spec Lanyu",1,4.34225532516686,28.2469032280939,0.511284824625789,0.001,0.21,""
"6","Xestospongia testudinaria vs Acanthostrongylophora ingens",1,2.03725818252646,11.0422047460316,0.269045116225129,0.001,0.21,""
"7","Xestospongia testudinaria vs Neopetrosia carbonaria",1,3.59279240385424,20.9798895398981,0.456284035256179,0.001,0.21,""
"8","Xestospongia testudinaria vs Neopetrosia rosariensis",1,0.961108820983576,4.93351634097836,0.190237076843404,0.001,0.21,""
"9","Xestospongia testudinaria vs Petrosia (Petrosia) weinbergi",1,4.22225426331395,22.7198824278191,0.44794824712286,0.001,0.21,""
"10","Xestospongia testudinaria vs Neopetrosia proxima",1,1.5823518848386,8.55291507769544,0.2710657654494,0.001,0.21,""
"11","Xestospongia testudinaria vs Petrosia (Petrosia) nigricans",1,1.68102233877597,8.34584920329672,0.284396241031565,0.001,0.21,""
"12","Xestospongia testudinaria vs Petrosia (Petrosia) aff. elephantotus",1,4.01600062687622,22.2859431818804,0.426232020035617,0.001,0.21,""
"13","Xestospongia testudinaria vs Xestospongia muta",1,3.30720642953765,17.1987651692507,0.285699633886108,0.001,0.21,""
"14","Xestospongia testudinaria vs Petrosia (Petrosia) nova spec Curacao",1,1.37626902255202,7.11197524550863,0.252987390014328,0.002,0.42,""
