,e1100004418,e1100004419,e1100004421,e1100004422,e1100004425,e1100004426,e1100004430,e1100004431,e1100004433,e1100004434,e1100004435,e1100004436,e1100004439,e1100004442,e1100004443,e1100004444,e1100004445,e1100004446,e1100004451,e1100004452,e1100004453,e1100004454,e1100004455,e1100004458,e1100004460,e1100004465,e1100004467,e1100004468,e1100004469,e1100004470,e1100004472,e1100004475,e1100004476,e1100004477,e1100004481,e1100004484,e1100004487,e1100004489,e1100004492,e1100004494,e1100004495,e1100004496,e1100004497,e1100004501,e1100004502,e1100004503,e1100004507,e1100004508,e1100004509,e1100004510,e1100004511,e1100004514,e1100004518,e1100004519,e1100004520,e1100004524,e1100004525,e1100004526,e1100004527,e1100004529,e1100004531,e1100004532,e1100004534,e1100004536,e1100004537,e1100004538,e1100004539,e1100004540,e1100004544,e1100004547,e1100004548,e1100004549,e1100004550,e1100004552,e1100004557,e1100004558,e1100004559,e1100004560,e1100004561,e1100004563,e1100004567,e1100004568,e1100004569,e1100004571,e1100004572,e1100004573,e1100004574,e1100004578,e1100004579,e1100004580,e1100004581,e1100004582,e1100004583,e1100004585,e1100004588,e1100004592,e1100004593,e1100004594,e1100004595,e1100004597,e1100004599,e1100004601,e1100004603,e1100004605,e1100004611,e1100004612,e1100004614,e1100004618,e1100004619,e1100004622,e1100004623,e1100004624,e1100004626,e1100004630,e1100004631,e1100004634,e1100004635,e1100004636,e1100004638,e1100004642,e1100004643,e1100004646,e1100004647,e1100004648,e1100004650,e1100004654,e1100004655,e1100004658,e1100004659,e1100004660,e1100004661,e1100004662,e1100004666,e1100004667,e1100004670,e1100004671,e1100004672,e1100004673,e1100004674,e1100004676,e1100004677,e1100004678,e1100004679,e1100004681,e1100004683,e1100004685,e1100004688,e1100004689,e1100004690,e1100004691,e1100004693,e1100004695,e1100004697,e1100004701,e1100004702,e1100004703,e1100034946,e1100034947,e1100034958,e1100034959,e1100034970,e1100034971,e1100034983,e1100034988,e1100034995,e1100035000,e1100035006,e1100035007,e1100035012
e1100004418,0,1.51005,1.83169,1.70918,0,1.59243,0.30526,1.51395,1.10523,1.70522,1.70523,2.07924,1.05037,1.70327,1.70131,1.10292,1.50811,1.10292,1.67013,1.66578,1.70327,1.70916,1.10292,1.10292,2.07924,1.70916,1.10292,1.83169,1.51005,1.10292,2.0766,1.59092,1.66795,1.51005,1.10523,0.01037,2.09967,0.00001,1.83169,1.10061,2.07924,0.00204,1.59243,0.00001,1.51793,2.13829,1.47342,0.01037,1.59243,2.09696,0.19694,0.19694,1.58965,1.47325,1.0455,1.47097,2.09696,0.26569,2.09696,1.58965,2.09963,1.0455,2.08187,2.10499,0.19694,0.26569,1.04307,1.58965,1.0455,2.08536,2.10499,0.26721,2.09698,1.58965,1.06013,2.14355,2.08536,2.10499,0.39177,1.58965,2.09696,1.05524,1.05038,2.08536,2.10499,0.26891,1.59092,2.09696,2.09697,1.05525,1.06012,2.08187,1.48328,0.41626,1.59296,1.05282,2.08187,2.08187,1.49558,0.38959,1.58965,1.58965,1.0455,2.14092,0.23448,2.09961,0.19283,2.07924,1.82215,2.15384,0.24081,2.09697,0.19283,2.07924,1.82215,0.06465,0.05915,2.09696,0.37963,1.47342,1.47342,0.29021,0.29242,0.19694,0.19489,0.00001,1.47342,0.06036,0.39373,0.19489,1.6802,0.40009,2.07924,1.47587,0.01652,1.6802,0.19899,2.09696,0.19694,2.09962,1.47342,1.47342,1.47342,2.15384,0.40415,2.09697,0.25312,0,1.47342,2.07924,2.15384,0.19489,2.09696,0.39092,1.82215,0.29667,1.04307,2.09697,0.3991,1.6802,1.6802,1.6802,2.09696,1.8127,1.47325,1.82692,0.19694,1.47324,1.81505
e1100004419,1.51005,0,1.89087,1.29223,1.51005,1.75101,1.42739,0.0039,1.75076,1.28827,1.28828,2.13842,1.69591,1.28632,1.28436,1.74846,0.00195,1.74846,1.25318,1.24883,1.28632,1.29221,1.74846,1.74846,2.13842,1.29222,1.74846,1.89087,0,1.74845,2.13578,1.17397,1.251,0,1.75076,1.50349,2.15885,1.51006,1.89087,1.74615,2.13842,1.51209,1.75101,1.51006,0.00789,2.19747,1.63199,1.50349,1.75101,2.15614,1.49442,1.49442,1.1727,1.0563,1.69104,1.62954,2.15614,1.45345,2.15613,1.1727,2.15881,1.69104,2.14105,2.16416,1.49442,1.45345,1.6886,1.1727,1.69104,2.14453,2.16417,1.45497,2.15616,1.1727,1.70567,2.20273,2.14453,2.16417,1.57953,1.1727,2.15614,1.70078,1.69591,2.14453,2.16416,1.45666,1.17397,2.15614,2.15615,1.70079,1.70566,2.14105,1.64186,1.60402,1.17601,1.69836,2.14105,2.14105,1.65415,1.57735,1.1727,1.1727,1.69104,2.20009,1.42224,2.15879,1.49031,2.13842,1.88133,2.21302,1.42857,2.15614,1.49031,2.13842,1.88133,1.49223,1.48673,2.15614,1.56739,1.632,1.63199,1.41233,1.41454,1.49442,1.49237,1.51005,1.632,1.48794,1.58148,1.49237,1.26325,1.58785,2.13842,1.63444,1.50964,1.26325,1.49647,2.15614,1.49442,2.15879,1.632,1.632,1.632,2.21302,1.59191,2.15614,1.44088,1.51005,1.632,2.13842,2.21302,1.49237,2.15614,1.57868,1.88133,1.41879,1.6886,2.15615,1.58686,1.26325,1.26325,1.26325,2.15614,1.87188,1.0563,1.8861,1.49442,1.0563,1.87423
e1100004421,1.83169,1.89087,0,2.08999,1.83169,2.07265,1.74903,1.89476,2.0724,2.08604,2.08605,1.76725,2.01754,2.08409,2.08212,2.0701,1.88893,2.0701,2.05095,2.0466,2.08409,2.08998,2.0701,2.0701,1.76725,2.08998,2.0701,0,1.89087,2.07009,1.76461,1.97174,2.04876,1.89087,2.0724,1.82513,1.78768,1.83169,0,2.06779,1.76725,1.83372,2.07264,1.83169,1.89875,1.8263,1.95363,1.82513,2.07265,1.78497,1.81606,1.81606,1.97046,1.85406,2.01268,1.95118,1.78497,1.77509,1.78496,1.97046,1.78764,2.01268,1.76988,1.79299,1.81606,1.77509,2.01024,1.97047,2.01268,1.77336,1.79299,1.77661,1.78498,1.97047,2.02731,1.83156,1.77336,1.79299,1.90117,1.97047,1.78497,2.02242,2.01755,1.77336,1.79299,1.7783,1.97174,1.78497,1.78497,2.02243,2.0273,1.76988,1.96349,1.92566,1.97378,2.02,1.76988,1.76988,1.97579,1.89899,1.97047,1.97046,2.01268,1.82892,1.74387,1.78762,1.81195,1.76725,0.01901,1.84185,1.75021,1.78497,1.81195,1.76725,0.01901,1.81387,1.80836,1.78497,1.88903,1.95364,1.95363,1.73397,1.73618,1.81606,1.81401,1.83169,1.95364,1.80958,1.90312,1.81401,2.06102,1.90949,1.76725,1.95608,1.83128,2.06102,1.81811,1.78496,1.81606,1.78762,1.95364,1.95364,1.95364,1.84185,1.91355,1.78497,1.76252,1.83169,1.95364,1.76725,1.84185,1.81401,1.78497,1.90032,0.01901,1.74043,2.01024,1.78497,1.9085,2.06102,2.06102,2.06102,1.78496,0.01899,1.85406,0.02377,1.81606,1.85406,0.02134
e1100004422,1.70918,1.29223,2.08999,0,1.70918,1.95013,1.62651,1.29612,1.94989,0.00786,0.00395,2.33754,1.89503,0.00591,0.00787,1.94758,1.29028,1.94758,0.91373,0.90938,0.00591,0.00394,1.94758,1.94758,2.33754,0.00394,1.94758,2.08999,1.29223,1.94758,2.3349,0.83453,0.91155,1.29223,1.94989,1.70262,2.35797,1.70918,2.08999,1.94527,2.33755,1.71121,1.95013,1.70918,1.30011,2.39659,1.83112,1.70262,1.95013,2.35527,1.69354,1.69354,0.83325,0.94978,1.89016,1.82867,2.35527,1.65258,2.35526,0.83325,2.35793,1.89016,2.34018,2.36329,1.69354,1.65258,1.88773,0.83326,1.89016,2.34366,2.36329,1.65409,2.35528,0.83326,1.90479,2.40186,2.34366,2.36329,1.77865,0.83326,2.35526,1.8999,1.89504,2.34366,2.36329,1.65579,0.83453,2.35526,2.35527,1.89991,1.90478,2.34018,1.84098,1.80314,0.83656,1.89748,2.34017,2.34017,1.85328,1.77647,0.83325,0.83325,1.89016,2.39922,1.62136,2.35792,1.68944,2.33755,2.08046,2.41214,1.62769,2.35527,1.68944,2.33755,2.08045,1.69135,1.68585,2.35526,1.76651,1.83112,1.83112,1.61146,1.61367,1.69354,1.69149,1.70918,1.83112,1.68707,1.78061,1.69149,0.92381,1.78697,2.33754,1.83357,1.70877,0.9238,1.6956,2.35526,1.69355,2.35792,1.83112,1.83112,1.83112,2.41214,1.79103,2.35527,1.64001,1.70918,1.83112,2.33754,2.41214,1.69149,2.35526,1.7778,2.08046,1.61792,1.88773,2.35527,1.78598,0.9238,0.9238,0.92381,2.35526,2.07101,0.94978,2.08522,1.69354,0.94978,2.07336
e1100004425,0,1.51005,1.83169,1.70918,0,1.59243,0.30526,1.51395,1.10523,1.70522,1.70523,2.07924,1.05037,1.70327,1.70131,1.10292,1.50811,1.10292,1.67013,1.66578,1.70327,1.70916,1.10292,1.10292,2.07924,1.70916,1.10292,1.83169,1.51005,1.10292,2.0766,1.59092,1.66795,1.51005,1.10523,0.01037,2.09967,0,1.83169,1.10061,2.07924,0.00204,1.59243,0,1.51793,2.13829,1.47342,0.01037,1.59243,2.09696,0.19694,0.19694,1.58965,1.47325,1.0455,1.47097,2.09696,0.26569,2.09696,1.58965,2.09963,1.0455,2.08187,2.10499,0.19694,0.26569,1.04307,1.58965,1.0455,2.08536,2.10499,0.26721,2.09698,1.58965,1.06013,2.14355,2.08536,2.10499,0.39177,1.58965,2.09696,1.05524,1.05038,2.08536,2.10499,0.26891,1.59092,2.09696,2.09697,1.05525,1.06012,2.08187,1.48328,0.41626,1.59296,1.05282,2.08187,2.08187,1.49558,0.38959,1.58965,1.58965,1.0455,2.14092,0.23448,2.09961,0.19283,2.07924,1.82215,2.15384,0.24081,2.09697,0.19283,2.07924,1.82215,0.06465,0.05915,2.09696,0.37963,1.47342,1.47342,0.29021,0.29242,0.19694,0.19489,0,1.47342,0.06036,0.39373,0.19489,1.6802,0.40009,2.07924,1.47587,0.01652,1.6802,0.19899,2.09696,0.19694,2.09962,1.47342,1.47342,1.47342,2.15384,0.40415,2.09697,0.25312,0,1.47342,2.07924,2.15384,0.19489,2.09696,0.39092,1.82215,0.29667,1.04307,2.09697,0.3991,1.6802,1.6802,1.6802,2.09696,1.8127,1.47325,1.82692,0.19694,1.47324,1.81505
e1100004426,1.59243,1.75101,2.07265,1.95013,1.59243,0,1.50977,1.7549,1.83314,1.94617,1.94619,2.32019,1.77828,1.94422,1.94226,1.83084,1.74906,1.83083,1.91108,1.90673,1.94422,1.95012,1.83083,1.83084,2.32019,1.95012,1.83084,2.07264,1.75101,1.83083,2.31755,1.83187,1.9089,1.75101,1.83314,1.58587,2.34062,1.59243,2.07265,1.82853,2.3202,1.59446,0,1.59243,1.75889,2.37925,0.11902,1.58587,0,2.33792,1.57679,1.5768,1.8306,1.7142,1.77341,0.12146,2.33792,1.53583,2.33791,1.8306,2.34058,1.77341,2.32283,2.34594,1.5768,1.53583,1.77098,1.8306,1.77341,2.32631,2.34594,1.53735,2.33793,1.8306,1.78805,2.38451,2.32631,2.34594,1.66191,1.8306,2.33792,1.78316,1.77829,2.32631,2.34594,1.53904,1.83187,2.33791,2.33792,1.78316,1.78804,2.32283,0.13378,1.68639,1.83391,1.78073,2.32282,2.32282,0.14607,1.65973,1.8306,1.8306,1.77341,2.38187,1.50461,2.34057,1.57269,2.3202,2.06311,2.3948,1.51095,2.33792,1.57269,2.3202,2.06311,1.5746,1.5691,2.33791,1.64977,0.11902,0.11902,1.49471,1.49692,1.5768,1.57475,1.59243,0.11902,1.57032,1.66386,1.57475,1.92115,1.67022,2.3202,0.12147,1.59202,1.92115,1.57885,2.33791,1.5768,2.34057,0.11902,0.11902,0.11902,2.39479,1.67429,2.33792,1.52326,1.59243,0.11902,2.32019,2.3948,1.57475,2.33791,1.66105,2.06311,1.50117,1.77098,2.33792,1.66924,1.92115,1.92115,1.92115,2.33791,2.05366,1.7142,2.06787,1.5768,1.7142,2.05601
e1100004430,0.30526,1.42739,1.74903,1.62651,0.30526,1.50977,0,1.43128,1.02256,1.62255,1.62257,1.99658,0.96771,1.62061,1.61864,1.02026,1.42544,1.02026,1.58746,1.58311,1.6206,1.6265,1.02026,1.02026,1.99658,1.6265,1.02026,1.74903,1.42739,1.02026,1.99394,1.50826,1.58528,1.42739,1.02256,0.2987,2.01701,0.30526,1.74903,1.01795,1.99658,0.30729,1.50977,0.30526,1.43527,2.05563,1.39075,0.2987,1.50977,2.0143,0.28963,0.28963,1.50698,1.39058,0.96284,1.38831,2.0143,0.24866,2.01429,1.50698,2.01697,0.96284,1.99921,2.02232,0.28963,0.24866,0.96041,1.50699,0.96284,2.00269,2.02232,0.25018,2.01431,1.50699,0.97747,2.06089,2.00269,2.02232,0.37474,1.50699,2.0143,0.97258,0.96771,2.00269,2.02232,0.25187,1.50826,2.0143,2.0143,0.97259,0.97746,1.99921,1.40062,0.39923,1.51029,0.97016,1.99921,1.99921,1.41291,0.37256,1.50698,1.50698,0.96284,2.05825,0.21744,2.01695,0.28552,1.99658,1.73949,2.07118,0.22378,2.0143,0.28552,1.99658,1.73949,0.28744,0.28193,2.0143,0.3626,1.39076,1.39076,0.01506,0.02591,0.28963,0.28758,0.30526,1.39076,0.28315,0.37669,0.28758,1.59754,0.38305,1.99658,1.3932,0.30485,1.59753,0.29168,2.01429,0.28963,2.01695,1.39076,1.39076,1.39076,2.07118,0.38712,2.0143,0.23609,0.30526,1.39076,1.99658,2.07118,0.28758,2.0143,0.37389,1.73949,0.0086,0.96041,2.0143,0.38207,1.59753,1.59753,1.59754,2.01429,1.73004,1.39058,1.74426,0.28963,1.39058,1.73239
e1100004431,1.51395,0.0039,1.89476,1.29612,1.51395,1.7549,1.43128,0,1.75465,1.29216,1.29218,2.14231,1.6998,1.29021,1.28825,1.75235,0.00584,1.75235,1.25707,1.25272,1.29021,1.29611,1.75235,1.75235,2.14231,1.29611,1.75235,1.89476,0.0039,1.75235,2.13967,1.17786,1.25489,0.0039,1.75465,1.50739,2.16274,1.51395,1.89476,1.75004,2.14231,1.51598,1.7549,1.51395,0.01178,2.20136,1.63589,1.50739,1.7549,2.16003,1.49831,1.49831,1.17659,1.06019,1.69493,1.63344,2.16004,1.45735,2.16003,1.17659,2.1627,1.69493,2.14494,2.16806,1.49831,1.45735,1.6925,1.1766,1.69493,2.14843,2.16806,1.45886,2.16005,1.17659,1.70956,2.20663,2.14843,2.16806,1.58342,1.1766,2.16003,1.70467,1.6998,2.14843,2.16806,1.46056,1.17786,2.16003,2.16004,1.70468,1.70955,2.14494,1.64575,1.60791,1.1799,1.70225,2.14494,2.14494,1.65805,1.58124,1.17659,1.17659,1.69493,2.20399,1.42613,2.16268,1.4942,2.14232,1.88522,2.21691,1.43246,2.16004,1.4942,2.14232,1.88522,1.49612,1.49062,2.16003,1.57128,1.63589,1.63589,1.41623,1.41844,1.49831,1.49626,1.51395,1.63589,1.49183,1.58538,1.49626,1.26714,1.59174,2.14231,1.63834,1.51353,1.26714,1.50037,2.16003,1.49832,2.16269,1.63589,1.63589,1.63589,2.21691,1.5958,2.16004,1.44478,1.51395,1.63589,2.14231,2.21691,1.49626,2.16003,1.58257,1.88522,1.42269,1.6925,2.16004,1.59075,1.26714,1.26714,1.26714,2.16003,1.87578,1.06019,1.88999,1.49831,1.06019,1.87813
e1100004433,1.10523,1.75076,2.0724,1.94989,1.10523,1.83314,1.02256,1.75465,0,1.94593,1.94594,2.31995,0.18788,1.94398,1.94201,0.00231,1.74882,0.00231,1.91084,1.90649,1.94398,1.94987,0.00231,0.00231,2.31995,1.94987,0.00231,2.0724,1.75076,0.00231,2.31731,1.83163,1.90865,1.75076,0,1.09867,2.34038,1.10523,2.0724,0.00461,2.31995,1.10726,1.83314,1.10523,1.75864,2.379,1.71413,1.09867,1.83314,2.33767,1.08959,1.08959,1.83035,1.71395,0.18301,1.71168,2.33767,1.04862,2.33766,1.83035,2.34034,0.18301,2.32258,2.34569,1.08959,1.04862,0.18058,1.83036,0.18301,2.32606,2.34569,1.05014,2.33769,1.83036,0.19765,2.38426,2.32606,2.34569,1.1747,1.83036,2.33767,0.19276,0.18789,2.32606,2.34569,1.05184,1.83163,2.33767,2.33768,0.19276,0.19763,2.32258,1.72399,1.19919,1.83367,0.19033,2.32258,2.32258,1.73628,1.17252,1.83036,1.83035,0.18301,2.38162,1.01741,2.34032,1.08548,2.31995,2.06286,2.39455,1.02374,2.33767,1.08548,2.31995,2.06286,1.0874,1.0819,2.33767,1.16256,1.71413,1.71413,1.00751,1.00972,1.08959,1.08754,1.10523,1.71413,1.08311,1.17666,1.08754,1.92091,1.18302,2.31995,1.71658,1.10481,1.92091,1.09164,2.33767,1.08959,2.34032,1.71413,1.71413,1.71413,2.39455,1.18708,2.33767,1.03605,1.10523,1.71413,2.31995,2.39455,1.08754,2.33767,1.17385,2.06286,1.01397,0.18058,2.33767,1.18203,1.92091,1.92091,1.92091,2.33766,2.05341,1.71395,2.06763,1.08959,1.71395,2.05576
e1100004434,1.70522,1.28827,2.08604,0.00786,1.70522,1.94617,1.62255,1.29216,1.94593,0,0.00392,2.33358,1.89107,0.00195,0.00391,1.94362,1.28633,1.94362,0.90977,0.90543,0.00195,0.00785,1.94362,1.94362,2.33358,0.00785,1.94362,2.08603,1.28827,1.94362,2.33094,0.83057,0.90759,1.28827,1.94593,1.69866,2.35401,1.70522,2.08604,1.94131,2.33359,1.70725,1.94617,1.70522,1.29615,2.39264,1.82716,1.69866,1.94617,2.35131,1.68958,1.68958,0.82929,0.94582,1.8862,1.82471,2.35131,1.64862,2.3513,0.82929,2.35397,1.8862,2.33622,2.35933,1.68958,1.64862,1.88377,0.8293,1.8862,2.3397,2.35933,1.65013,2.35132,0.8293,1.90083,2.3979,2.3397,2.35933,1.77469,0.8293,2.35131,1.89594,1.89108,2.3397,2.35933,1.65183,0.83057,2.3513,2.35131,1.89595,1.90082,2.33622,1.83702,1.79918,0.8326,1.89352,2.33621,2.33621,1.84932,1.77251,0.82929,0.82929,1.8862,2.39526,1.6174,2.35396,1.68548,2.33359,2.0765,2.40819,1.62373,2.35131,1.68548,2.33359,2.0765,1.68739,1.68189,2.3513,1.76255,1.82716,1.82716,1.6075,1.60971,1.68958,1.68753,1.70522,1.82716,1.68311,1.77665,1.68753,0.91985,1.78301,2.33359,1.82961,1.70481,0.91984,1.69164,2.3513,1.68959,2.35396,1.82716,1.82716,1.82716,2.40818,1.78708,2.35131,1.63605,1.70522,1.82716,2.33358,2.40819,1.68753,2.3513,1.77384,2.0765,1.61396,1.88377,2.35131,1.78203,0.91984,0.91984,0.91985,2.3513,2.06705,0.94582,2.08126,1.68958,0.94582,2.0694
